text,label
I cannot sleep at night my mind keeps racing with thoughts,high_stress
I feel completely overwhelmed with all the work deadlines,high_stress
My heart is pounding and I cannot calm myself down,high_stress
I am so anxious I cannot focus on anything at all,high_stress
Everything feels out of control and I do not know what to do,high_stress
I have been having panic attacks every single day this week,high_stress
I am exhausted but cannot stop worrying about everything,high_stress
The pressure at work is unbearable I feel like breaking down,high_stress
I snapped at my family again because I am so stressed out,high_stress
I feel paralyzed with fear and cannot make any decisions,high_stress
My chest feels tight and I am constantly on edge,high_stress
I have not eaten properly in days because of all the stress,high_stress
I am drowning in responsibilities and see no way out,high_stress
The anxiety is so bad I had to leave work early today,high_stress
I cannot stop crying and I do not even know exactly why,high_stress
I feel like I am about to have a complete breakdown soon,high_stress
Everything is falling apart and I feel totally helpless,high_stress
I have constant headaches from all the tension and worry,high_stress
I am so stressed I forgot important meetings and deadlines,high_stress
My hands are shaking and I feel nauseous from the pressure,high_stress
I wake up every morning already feeling terrified about the day,high_stress
The constant pressure is making me feel physically sick every day,high_stress
I cannot breathe properly when I think about everything I need to do,high_stress
My anxiety is at an all time high and I feel out of control,high_stress
I am trembling with stress and cannot think clearly anymore,high_stress
Every small problem feels catastrophic and I cannot cope,high_stress
I have not been able to concentrate on anything for weeks now,high_stress
I keep having intrusive anxious thoughts that I cannot stop,high_stress
The fear and dread I feel daily are completely overwhelming me,high_stress
I am in constant panic mode and nothing helps calm me down,high_stress
I feel completely crushed under the weight of everything right now,high_stress
My stomach is in knots all day and I feel sick with worry,high_stress
I cannot face going to work tomorrow I am so overwhelmed,high_stress
The tension in my body is unbearable my neck and shoulders ache,high_stress
I am spiraling out of control and feel like I am losing my mind,high_stress
I barely slept last night because of all the anxious thoughts,high_stress
Everything feels urgent and terrifying and I cannot settle down,high_stress
My mind races with worst case scenarios I cannot stop thinking,high_stress
I am shaking and sweating just thinking about my workload,high_stress
The stress is so intense I feel physically ill and cannot function,high_stress
I feel severely overwhelmed and close to a breaking point today,high_stress
I cannot handle one more thing being added to my responsibilities,high_stress
My anxiety keeps me awake and ruins every single day I have,high_stress
I screamed at a coworker today because I am so close to the edge,high_stress
I feel like everything is crashing down on me all at once now,high_stress
I have zero capacity left and feel completely at my limit,high_stress
My blood pressure feels dangerously high from all the constant stress,high_stress
I am having trouble breathing and feel a panic attack coming on,high_stress
I cannot stop catastrophizing about things that have not happened yet,high_stress
The dread and anxiety I feel every morning is absolutely debilitating,high_stress
I feel a bit anxious about the upcoming exam next week,moderate_stress
There is quite a lot on my plate right now but managing it,moderate_stress
Work has been stressful lately but I am getting through it,moderate_stress
I am tired and a bit overwhelmed but things will be okay,moderate_stress
The project deadline is stressing me out a little today,moderate_stress
I feel some pressure but I think I can handle it fine,moderate_stress
There are a few things worrying me but nothing too serious,moderate_stress
I had a stressful day at work but feel better now at home,moderate_stress
Feeling slightly anxious about my presentation tomorrow,moderate_stress
I am a bit behind on tasks and it is causing some stress,moderate_stress
Work is busy and I feel stretched thin this week,moderate_stress
There is some tension at home but we are working through it,moderate_stress
I am managing okay despite a few stressful situations lately,moderate_stress
The commute and long hours are getting to me a bit recently,moderate_stress
I feel somewhat tense but a good night sleep should help,moderate_stress
Had a tough week but I know things will settle down soon,moderate_stress
I have some worries on my mind but nothing overwhelming at all,moderate_stress
A few deadlines are coming up and I feel a bit pressured,moderate_stress
